,ds,yhat,y
0,2017-01-01,27161.25302041117,27477.307666370554
1,2017-02-01,25150.827947493523,25223.428860347456
2,2017-03-01,28088.20130307564,26334.26363967878
3,2017-04-01,26720.66404236025,27045.88446262117
4,2017-05-01,25841.415651053365,25631.863991881684
5,2017-06-01,26926.033693260357,26365.38706384802
6,2017-07-01,27966.8202778511,27819.35294462765
7,2017-08-01,26814.685470008135,27394.07395180577
8,2017-09-01,26108.04684744951,26404.252526903005
9,2017-10-01,27774.29101247431,27766.66317796161
10,2017-11-01,27661.722005124,28425.301720641164
11,2017-12-01,33988.95857289611,34084.519433704845
12,2018-01-01,26806.709433726613,26736.746546069706
13,2018-02-01,25890.854641736307,25650.68873210639
14,2018-03-01,27814.97398555072,28846.727300021103
15,2018-04-01,26495.79639375482,26429.52752809941
16,2018-05-01,25610.17583771975,26430.503243249208
17,2018-06-01,26543.557222560903,27465.90980889797
18,2018-07-01,26666.01786451815,27033.43803708506
19,2018-08-01,25803.657795744188,26267.256514020613
20,2018-09-01,24189.597030279252,24310.777978264978
21,2018-10-01,25332.71073703705,25010.47670444924
22,2018-11-01,25347.05012595029,24891.71263312131
23,2018-12-01,31139.8242498503,31136.131957050453
24,2019-01-01,24414.158779937945,23888.726073338843
25,2019-02-01,23774.63768030739,22542.04994183623
26,2019-03-01,24890.952167035994,24647.680742226563
27,2019-04-01,23184.589444924102,23073.755385152883
28,2019-05-01,22888.37200045677,22852.143404939907
29,2019-06-01,23904.314526600378,23803.413179689967
30,2019-07-01,23866.687408778493,23580.072634934764
31,2019-08-01,24248.837383404134,24329.91041230039
32,2019-09-01,22238.52691055625,22144.650616311803
33,2019-10-01,24429.22650200013,24652.71442386198
34,2019-11-01,24590.520241776005,24270.7041203352
35,2019-12-01,29847.82588389759,29147.85103469526
36,2020-01-01,23811.562690346833,23483.345683378702
37,2020-02-01,23667.860591413406,23702.013147622165
38,2020-03-01,25390.94295605442,26996.659534813563
39,2020-04-01,22887.62996034071,23142.654714237968
40,2020-05-01,23620.16081472996,24012.676328922764
41,2020-06-01,23251.570415060873,23449.543028817643
42,2020-07-01,24257.978376552746,23791.36751520022
43,2020-08-01,23514.502047254413,22953.005491091488
44,2020-09-01,22265.29233442933,21628.03177677916
45,2020-10-01,24121.625779021277,24095.3382187538
46,2020-11-01,24627.58827169449,24010.693725993668
47,2020-12-01,30290.19922540929,29931.10446415699
48,2021-01-01,24463.348918008905,24420.020915074365
49,2021-02-01,21709.149287347303,22322.62103430943
50,2021-03-01,24664.217898525396,24627.553412049245
51,2021-04-01,23377.3523768857,23407.47506933876
52,2021-05-01,23689.267485525797,23368.393763666063
53,2021-06-01,23925.75380401957,23677.99416274856
54,2021-07-01,24681.020468046583,24779.46708113056
55,2021-08-01,24142.843214154593,23990.069055768367
56,2021-09-01,22687.157257377305,22962.046342330883
57,2021-10-01,25248.921000359955,25386.745245625458
58,2021-11-01,24392.78463240516,25026.615284791493
59,2021-12-01,30625.987023269565,31596.63098218946
60,2022-01-01,24810.111530563427,25464.131520078303
61,2022-02-01,23046.42948334587,23803.20202289494
62,2022-03-01,25223.186019109846,24612.90136936376
63,2022-04-01,24581.519962982,24143.08771170617
64,2022-05-01,23886.417854055973,23234.77377354882
65,2022-06-01,24359.54670335358,24144.358858783595
66,2022-07-01,25657.150523864395,26090.25557801412
67,2022-08-01,24339.96105885335,23930.70583602192
68,2022-09-01,23095.51641870638,23136.67558390528
69,2022-10-01,25709.41722500537,
